WikiPageName,Party,State
John_Conyers,Democratic,Michigan
Charles_Rangel,Democratic,New York
Don_Young,Republican,Alaska
Jim_Sensenbrenner,Republican,Wisconsin
Hal_Rogers,Republican,Kentucky
Chris_Smith_(New_Jersey_politician),Republican,New Jersey
Steny_Hoyer,Democratic,Maryland
Marcy_Kaptur,Democratic,Ohio
Sander_Levin,Democratic,Michigan
Joe_Barton,Republican,Texas
Pete_Visclosky,Democratic,Indiana
Peter_DeFazio,Democratic,Oregon
John_Lewis_(civil_rights_leader),Democratic,Georgia
Louise_Slaughter,Democratic,New York
Lamar_Smith,Republican,Texas
Fred_Upton,Republican,Michigan
Nancy_Pelosi,Democratic,California
Jimmy_Duncan_(politician),Republican,Tennessee
Frank_Pallone,Democratic,New Jersey
Eliot_Engel,Democratic,New York
Nita_Lowey,Democratic,New York
Jim_McDermott,Democratic,Washington
Richard_Neal,Democratic,Massachusetts
Dana_Rohrabacher,Republican,California
Ileana_Ros-Lehtinen,Republican,Florida
José_E._Serrano,Democratic,New York
David_Price_(American_politician),Democratic,North Carolina
John_Boehner,Republican,Ohio
Rosa_DeLauro,Democratic,Connecticut
Collin_Peterson,Democratic,Minnesota
Maxine_Waters,Democratic,California
Sam_Johnson,Republican,Texas
Jerrold_Nadler,Democratic,New York
Jim_Cooper,Democratic,Tennessee
Xavier_Becerra,Democratic,California
Sanford_Bishop,Democratic,Georgia
Corrine_Brown,Democratic,Florida
Ken_Calvert,Republican,California
Jim_Clyburn,Democratic,South Carolina
Anna_Eshoo,Democratic,California
Bob_Goodlatte,Republican,Virginia
Gene_Green,Democratic,Texas
Luis_Gutiérrez,Democratic,Illinois
Alcee_Hastings,Democratic,Florida
Eddie_Bernice_Johnson,Democratic,Texas
Peter_T._King,Republican,New York
Carolyn_Maloney,Democratic,New York
John_Mica,Republican,Florida
Lucille_Roybal-Allard,Democratic,California
Ed_Royce,Republican,California
Bobby_Rush,Democratic,Illinois
Bobby_Scott_(politician),Democratic,Virginia
Nydia_Velázquez,Democratic,New York
Bennie_Thompson,Democratic,Mississippi
Sam_Farr,Democratic,California
Frank_Lucas_(Oklahoma_politician),Republican,Oklahoma
Lloyd_Doggett,Democratic,Texas
Michael_F._Doyle,Democratic,Pennsylvania
Chaka_Fattah,Democratic,Pennsylvania
Rodney_Frelinghuysen,Republican,New Jersey
Sheila_Jackson_Lee,Democratic,Texas
Walter_B._Jones_Jr.,Republican,North Carolina
Frank_LoBiondo,Republican,New Jersey
Zoe_Lofgren,Democratic,California
Mac_Thornberry,Republican,Texas
Ed_Whitfield,Republican,Kentucky
Elijah_Cummings,Democratic,Maryland
Earl_Blumenauer,Democratic,Oregon
Robert_Aderholt,Republican,Alabama
Kevin_Brady,Republican,Texas
Danny_K._Davis,Democratic,Illinois
Diana_DeGette,Democratic,Colorado
Kay_Granger,Republican,Texas
Rubén_Hinojosa,Democratic,Texas
Ron_Kind,Democratic,Wisconsin
Jim_McGovern_(American_politician),Democratic,Massachusetts
Bill_Pascrell,Democratic,New Jersey
Joe_Pitts,Republican,Pennsylvania
Loretta_Sanchez,Democratic,California
Pete_Sessions,Republican,Texas
Brad_Sherman,Democratic,California
John_Shimkus,Republican,Illinois
Adam_Smith_(politician),Democratic,Washington
Gregory_Meeks,Democratic,New York
Lois_Capps,Democratic,California
Barbara_Lee,Democratic,California
Bob_Brady,Democratic,Pennsylvania
Steve_Chabot,Republican,Ohio
Mike_Capuano,Democratic,Massachusetts
Joe_Crowley,Democratic,New York
John_B._Larson,Democratic,Connecticut
Grace_Napolitano,Democratic,California
Paul_Ryan,Republican,Wisconsin
Jan_Schakowsky,Democratic,Illinois
Mike_Simpson,Republican,Idaho
Mike_Thompson_(California_politician),Democratic,California
