Party,tw_name
Democratic,RepJohnConyers
Republican,repdonyoung
Republican,JimPressOffice
Republican,RepHalRogers
Republican,RepChrisSmith
Democratic,WhipHoyer
Democratic,RepMarcyKaptur
Democratic,repsandylevin
Republican,RepJoeBarton
Democratic,RepVisclosky
Democratic,RepPeterDeFazio
Democratic,repjohnlewis
Democratic,louiseslaughter
Republican,LamarSmithTX21
Republican,RepFredUpton
Democratic,NancyPelosi
Republican,RepJohnDuncanJr
Democratic,FrankPallone
Democratic,RepEliotEngel
Democratic,NitaLowey
Democratic,RepRichardNeal
Republican,RepRohrabacher
Republican,RosLehtinen
Democratic,RepJoseSerrano
Democratic,RepDavidEPrice
Democratic,rosadelauro
Democratic,RepMaxineWaters
Republican,SamsPressShop
Democratic,RepJerryNadler
Democratic,repjimcooper
Democratic,SanfordBishop
Republican,KenCalvert
Democratic,Clyburn
Democratic,RepAnnaEshoo
Republican,RepGoodlatte
Democratic,RepGeneGreen
Democratic,RepHastingsFL
Democratic,RepEBJ
Republican,RepPeteKing
Democratic,RepMaloney
Democratic,RepRoybalAllard
Republican,RepEdRoyce
Democratic,RepBobbyRush
Democratic,BobbyScott
Democratic,BennieGThompson
Republican,RepFrankLucas
Democratic,RepLloydDoggett
Democratic,USRepMikeDoyle
Republican,USRepRodney
Democratic,JacksonLeeTX18
Republican,RepLoBiondo
Democratic,RepZoeLofgren
Republican,MacTXPress
Democratic,RepCummings
Democratic,repblumenauer
Republican,Robert_Aderholt
Republican,RepKevinBrady
Democratic,RepDannyDavis
Democratic,RepDianaDeGette
Republican,RepKayGranger
Democratic,RepRonKind
Democratic,RepMcGovern
Democratic,BillPascrell
Republican,PeteSessions
Democratic,BradSherman
Republican,RepShimkus
Democratic,RepAdamSmith
Democratic,RepGregoryMeeks
Democratic,RepBarbaraLee
Democratic,RepBrady
Republican,RepSteveChabot
Democratic,RepMikeCapuano
Democratic,repjoecrowley
Democratic,RepJohnLarson
Democratic,gracenapolitano
Republican,SpeakerRyan
Democratic,janschakowsky
Republican,CongMikeSimpson
Democratic,RepThompson
Republican,repgregwalden
Democratic,LacyClayMO1
Republican,CongCulberson
Democratic,RepSusanDavis
Republican,RepSamGraves
Republican,DarrellIssa
Democratic,JimLangevin
Democratic,RepRickLarsen
Democratic,BettyMcCollum04
Democratic,RepAdamSchiff
Republican,PatTiberi
Republican,RepBillShuster
Democratic,RepStephenLynch
Republican,RepJoeWilson
Republican,RepRobBishop
Republican,MarshaBlackburn
Republican,michaelcburgess
Republican,JudgeCarter
Republican,TomColeOK04
Democratic,RepRaulGrijalva
Republican,RepHensarling
Republican,SteveKingIA
Republican,RepDevinNunes
Republican,RepMikeRogersAL
Democratic,Call_Me_Dutch
Democratic,RepTimRyan
Democratic,RepLindaSanchez
Democratic,repdavidscott
Republican,RepMikeTurner
Democratic,GKButterfield
Democratic,repcleaver
Republican,ConawayTX11
Democratic,RepJimCosta
Democratic,RepCuellar
Republican,JeffFortenberry
Republican,virginiafoxx
Republican,replouiegohmert
Democratic,RepAlGreen
Democratic,RepBrianHiggins
Democratic,RepLipinski
Republican,RepKenMarchant
Republican,RepMcCaul
Republican,PatrickMcHenry
Republican,cathymcmorris
Democratic,RepGwenMoore
Republican,JudgeTedPoe
Republican,davereichert
Democratic,DWStweets
Democratic,DorisMatsui
Democratic,RepSires
Republican,RepStevePearce
Republican,RepGusBilirakis
Republican,VernBuchanan
Democratic,USRepKCastor
Democratic,RepYvetteClarke
Democratic,RepCohen
Democratic,RepJoeCourtney
Democratic,keithellison
Democratic,RepHankJohnson
Republican,Jim_Jordan
Republican,RepDLamborn
Democratic,daveloebsack
Republican,GOPLeader
Democratic,RepMcNerney
Democratic,RepPerlmutter
Republican,PeterRoskam
Democratic,RepSarbanes
Republican,RepAdrianSmith
Democratic,RepTimWalz
Democratic,PeterWelch
Democratic,RepJohnYarmuth
Democratic,nikiinthehouse
Republican,boblatta
Republican,RobWittman
Democratic,RepAndreCarson
Democratic,RepSpeier
Republican,SteveScalise
Democratic,RepMarciaFudge
Democratic,USRepRickNolan
Republican,RepSanfordSC
Republican,RepMikeCoffman
Democratic,GerryConnolly
Republican,RepGuthrie
Republican,GreggHarper
Democratic,jahimes
Republican,Rep_Hunter
Republican,RepLynnJenkins
Republican,RepLanceNJ7
Republican,RepBlaine
Republican,RepMcClintock
Republican,RepPeteOlson
Republican,RepErikPaulsen
Democratic,chelliepingree
Democratic,RepJaredPolis
Republican,congbillposey
Republican,DrPhilRoe
Republican,TomRooney
Democratic,RepSchrader
Republican,CongressmanGT
Democratic,RepPaulTonko
Democratic,RepMikeQuigley
Democratic,RepJudyChu
Democratic,RepGaramendi
Democratic,RepTedDeutch
Republican,RepTomGraves
Republican,RepTomReed
Republican,RepWalberg
Democratic,RepBillFoster
Republican,justinamash
Republican,RepLouBarletta
Democratic,RepKarenBass
Republican,RepDianeBlack
Republican,RepMoBrooks
Republican,RepLarryBucshon
Democratic,davidcicilline
Republican,RepRickCrawford
Republican,RepJeffDenham
Republican,DesJarlaisTN04
Republican,RepSeanDuffy
Republican,RepJeffDuncan
Republican,farenthold
Republican,RepChuck
Republican,RepBillFlores
Republican,RepBobGibbs
Republican,RepGosar
Republican,TGowdySC
Republican,RepMGriffith
Republican,RepAndyHarrisMD
Republican,RepHartzler
Republican,HerreraBeutler
Republican,RepHuizenga
Republican,RepHultgren
Republican,RepBillJohnson
Democratic,USRepKeating
Republican,MikeKellyPA
Republican,RepKinzinger
Republican,Raul_Labrador
Republican,USRepLong
Republican,RepTomMarino
Republican,RepMcKinley
Republican,RepKristiNoem
Republican,CongPalazzo
Republican,RepJimRenacci
Democratic,RepRichmond
Republican,RepMarthaRoby
Republican,ToddRokita
Republican,RepDennisRoss
Republican,RepDavid
Republican,AustinScottGA08
Democratic,RepTerriSewell
Republican,RepSteveStivers
Republican,RepTipton
Republican,RepWebster
Democratic,RepWilson
Republican,rep_stevewomack
Republican,RepRobWoodall
Republican,RepKevinYoder
Republican,MarkAmodeiNV2
Democratic,RepBonamici
Democratic,RepDelBene
Republican,RepThomasMassie
Democratic,repdinatitus
Democratic,RepSheaPorter
Democratic,RepHanabusa
Republican,RepAndyBarr
Democratic,RepBeatty
Democratic,RepBera
Republican,RepJBridenstine
Republican,SusanWBrooks
Democratic,JuliaBrownley26
Democratic,RepCheri
Democratic,RepCardenas
Democratic,RepCartwright
Democratic,JoaquinCastrotx
Republican,RepChrisCollins
Republican,RepDougCollins
Republican,RepPaulCook
Republican,RepKevinCramer
Republican,RodneyDavis
Democratic,RepJohnDelaney
Republican,RepDeSantis
Democratic,RepEsty
Democratic,RepLoisFrankel
Democratic,TulsiPress
Democratic,RepDennyHeck
Republican,RepHolding
Republican,RepRichHudson
Democratic,RepHuffman
Democratic,RepJeffries
Republican,RepDaveJoyce
Democratic,RepJoeKennedy
Democratic,RepDanKildee
Democratic,RepDerekKilmer
Democratic,RepAnnieKuster
Republican,RepLaMalfa
Democratic,RepLowenthal
Democratic,RepLujanGrisham
Democratic,RepSeanMaloney
Republican,RepMarkMeadows
Democratic,RepGraceMeng
Republican,RepLukeMesser
Republican,RepMullin
Democratic,RepBetoORourke
Republican,RepScottPerry
Democratic,RepScottPeters
Republican,RepPittenger
Democratic,repmarkpocan
Republican,RepTomRice
Republican,RothfusForPA
Democratic,CongressmanRuiz
Democratic,RepSinema
Republican,RepChrisStewart
Democratic,RepSwalwell
Democratic,RepMarkTakano
Republican,RepDavidValadao
Democratic,RepJuanVargas
Democratic,RepVeasey
Republican,RepAnnWagner
Republican,RepWalorski
Republican,TXRandy14
Republican,RepBradWenstrup
Republican,RepRWilliams
Republican,RepTedYoho
Democratic,RepRobinKelly
Republican,RepJasonSmith
Democratic,RepKClark
Republican,RepByrne
Democratic,RepAdams
Republican,RepDaveBrat
Democratic,DonaldNorcross
Republican,RepAbraham
Democratic,RepPeteAguilar
Republican,RepRickAllen
Republican,RepBrianBabin
Democratic,RepDonBeyer
Republican,RepMikeBishop
Republican,RepRodBlum
Republican,RepBost
Democratic,RepBrendanBoyle
Republican,RepKenBuck
Republican,RepBuddyCarter
Republican,RepComstock
Republican,RepRyanCostello
Republican,RepCurbelo
Democratic,RepDeSaulnier
Democratic,RepDebDingell
Republican,RepTomEmmer
Democratic,RepRubenGallego
Republican,RepGarretGraves
Republican,RepGrothman
Republican,CongressmanHice
Republican,RepFrenchHill
Republican,HurdOnTheHill
Republican,RepJohnKatko
Republican,SteveKnight25
Democratic,RepLawrence
Democratic,RepTedLieu
Republican,RepLoudermilk
Republican,RepMiaLove
Republican,RepTomMacArthur
Republican,RepMcSally
Republican,RepMoolenaar
Republican,RepAlexMooney
Democratic,sethmoulton
Republican,RepNewhouse
Republican,USRepGaryPalmer
Republican,RepPoliquin
Republican,RepRatcliffe
Democratic,RepKathleenRice
Republican,RepDavidRouzer
Republican,RepRussell
Republican,RepStefanik
Democratic,NormaJTorres
Republican,RepDaveTrott
Republican,RepMarkWalker
Republican,RepMimiWalters
Democratic,RepBonnie
Republican,RepWesterman
Republican,RepDavidYoung
Republican,RepLeeZeldin
Republican,RepDanDonovan
Republican,RepTrentKelly
Republican,RepLaHood
Republican,WarrenDavidson
Republican,KYComer
Democratic,RepDwightEvans
Democratic,RepSchneider
Republican,RepArrington
Republican,RepDonBacon
Republican,RepJimBanks
Democratic,RepBarragan
Republican,RepJackBergman
Republican,RepAndyBiggsAZ
Democratic,RepLBR
Democratic,RepAnthonyBrown
Republican,RepTedBudd
Democratic,RepCarbajal
Republican,RepLizCheney
Democratic,RepLouCorrea
Democratic,RepCharlieCrist
Democratic,RepValDemings
Republican,DrNealDunnFL2
Democratic,RepEspaillat
Republican,RepJohnFaso
Republican,RepDrewFerguson
Republican,RepBrianFitz
Republican,RepMattGaetz
Republican,RepGallagher
Republican,RepTomGarrett
Democratic,RepJoshG
Republican,RepClayHiggins
Republican,RepTrey
Democratic,RepJayapal
Republican,RepMikeJohnson
Democratic,RepRoKhanna
Democratic,RepKihuen
Democratic,CongressmanRaja
Republican,RepDavidKustoff
Democratic,RepAlLawsonJr
Republican,RepJasonLewis
Republican,RepMarshall
Republican,RepBrianMast
Democratic,RepMcEachin
Republican,RepPaulMitchell
Democratic,RepStephMurphy
Democratic,RepOHalleran
Democratic,RepJimmyPanetta
Democratic,RepRaskin
Republican,RepRooney
Democratic,RepJackyRosen
Republican,RepRutherfordFL
Republican,RepSmucker
Democratic,RepDarrenSoto
Democratic,RepTomSuozzi
Republican,RepScottTaylor
Republican,RepTenney
Republican,RepRonEstes
Democratic,RepJimmyGomez
Republican,RepKHandel
Republican,RepRalphNorman
Democratic,RepConorLamb
