WikiPageName,Party,State,Name,tw_id,tw_name
Don_Young,Republican,Alaska,Don Young,37007274.0,repdonyoung
Jim_Sensenbrenner,Republican,Wisconsin,Jim Sensenbrenner,851621377.0,JimPressOffice
Hal_Rogers,Republican,Kentucky,Hal Rogers,550401754.0,RepHalRogers
Chris_Smith_(New_Jersey_politician),Republican,New Jersey,Chris Smith,1289319271.0,RepChrisSmith
Steny_Hoyer,Democratic,Maryland,Steny Hoyer,22012091.0,LeaderHoyer
Marcy_Kaptur,Democratic,Ohio,Marcy Kaptur,581141508.0,RepMarcyKaptur
Pete_Visclosky,Democratic,Indiana,Pete Visclosky,193872188.0,RepVisclosky
Peter_DeFazio,Democratic,Oregon,Peter DeFazio,252249233.0,RepPeterDeFazio
John_Lewis_(civil_rights_leader),Democratic,Georgia,John Lewis,29450962.0,repjohnlewis
Fred_Upton,Republican,Michigan,Fred Upton,124224165.0,RepFredUpton
Nancy_Pelosi,Democratic,California,Nancy Pelosi,15764644.0,SpeakerPelosi
Frank_Pallone,Democratic,New Jersey,Frank Pallone,31801993.0,FrankPallone
Eliot_Engel,Democratic,New York,Eliot Engel,164007407.0,RepEliotEngel
Nita_Lowey,Democratic,New York,Nita Lowey,221792092.0,NitaLowey
Richard_Neal,Democratic,Massachusetts,Richard Neal,442824717.0,RepRichardNeal
José_E._Serrano,Democratic,New York,José E. Serrano,33563161.0,RepJoseSerrano
David_Price_(American_politician),Democratic,North Carolina,David Price,155669457.0,RepDavidEPrice
Rosa_DeLauro,Democratic,Connecticut,Rosa DeLauro,140519774.0,rosadelauro
Maxine_Waters,Democratic,California,Maxine Waters,36686040.0,RepMaxineWaters
Jerrold_Nadler,Democratic,New York,Jerrold Nadler,40302336.0,RepJerryNadler
Jim_Cooper,Democratic,Tennessee,Jim Cooper,22523087.0,repjimcooper
Ken_Calvert,Republican,California,Ken Calvert,22545491.0,KenCalvert
Jim_Clyburn,Democratic,South Carolina,Jim Clyburn,188019606.0,WhipClyburn
Anna_Eshoo,Democratic,California,Anna Eshoo,249348006.0,RepAnnaEshoo
Gene_Green,Democratic,Texas,Gene Green,1.08047728896e+18,RepMarkGreen
Alcee_Hastings,Democratic,Florida,Alcee Hastings,2433737761.0,RepHastingsFL
Peter_T._King,Republican,New York,Peter T. King,18277655.0,RepPeteKing
Carolyn_Maloney,Democratic,New York,Carolyn Maloney,258900199.0,RepMaloney
Lucille_Roybal-Allard,Democratic,California,Lucille Roybal-Allard,479872233.0,RepRoybalAllard
Bobby_Rush,Democratic,Illinois,Bobby Rush,305216911.0,RepBobbyRush
Bobby_Scott_(politician),Democratic,Virginia,Bobby Scott,161791703.0,BobbyScott
Bennie_Thompson,Democratic,Mississippi,Bennie Thompson,82453460.0,BennieGThompson
Frank_Lucas_(Oklahoma_politician),Republican,Oklahoma,Frank Lucas,242772524.0,RepFrankLucas
Lloyd_Doggett,Democratic,Texas,Lloyd Doggett,153944899.0,RepLloydDoggett
Michael_F._Doyle,Democratic,Pennsylvania,Michael F. Doyle,39249305.0,USRepMikeDoyle
Sheila_Jackson_Lee,Democratic,Texas,Sheila Jackson Lee,80612021.0,JacksonLeeTX18
